id,title,authors,countries,first_year_published,Title
951,The Leopard,Giuseppe Tomasi di Lampedusa,Italian,1958.0,leopard
642,Wolf Hall,Hilary Mantel,British,2009.0,wolf hall
1497,Communist Manifesto,"Karl Marx, Friedrich Engels",German,1848.0,communist manifesto
366,Middlesex,Jeffrey Eugenides,American,2002.0,middlesex
2037,A Visit From The Goon Squad,Jennifer Egan,American,2010.0,visit from goon squad
1595,The Tempest,William Shakespeare,British,1610.0,tempest
482,King Lear,William Shakespeare,British,1608.0,king lear
37,Gravity's Rainbow,Thomas Pynchon,American,1973.0,gravity's rainbow
106,Winnie the Pooh,A. A Milne,British,1926.0,winnie pooh
45,"I, Claudius",Robert Graves,British,1934.0,"i, claudius"
544,The Stand,Stephen King,American,1978.0,stand
347,The Stories of John Cheever,John Cheever,American,1978.0,stories of john cheever
523,The Double Helix: A Personal Account of the Discovery of the Structure of DNA,James D. Watson,American,1968.0,double helix
447,Epic of Gilgamesh,,Unknown,-600.0,epic of gilgamesh
101,An American Tragedy,Theodore Dreiser,American,1925.0,american tragedy
222,Jude the Obscure,Thomas Hardy,British,1895.0,jude obscure
15,Brideshead Revisited,Evelyn Waugh,British,1945.0,brideshead revisited
332,A Prayer for Owen Meany,John Irving,American,1989.0,prayer for owen meany
48,Light in August,William Faulkner,American,1932.0,light in august
271,If on a Winter's Night a Traveller,Italo Calvino,Italian,1979.0,if on winter's night traveller
152,Lady Chatterley's Lover,D. H. Lawrence,British,1928.0,lady chatterley's lover
2365,Household Tales,Brothers Grimm,German,1812.0,household tales
463,Mahabharata,Vyasa,Indian,250.0,mahabharata
882,Democracy in America,Alexis de Tocqueville,French,1840.0,democracy in america
2440,A Season in Hell,Arthur Rimbaud,French,1873.0,season in hell
262,The Plague,Albert Camus,French,1947.0,plague
232,The Ambassadors,Henry James,American,1903.0,ambassadors
355,Rabbit at Rest,John Updike,American,1990.0,rabbit at rest
144,A Room With a View,E. M. Forster,British,1908.0,room with view
1328,Steppenwolf,Hermann Hesse,German,1927.0,steppenwolf
367,The Known World,Edward P. Jones,American,2003.0,known world
2009,Fahrenheit 451,Ray Bradbury,American,1953.0,fahrenheit 451
421,Rabbit Redux,John Updike,American,1971.0,rabbit redux
1,The Adventures of Augie March,Saul Bellow,American,1953.0,adventures of augie march
690,A Room of One's Own,Virginia Woolf,British,1929.0,room of one's own
177,The Maltese Falcon,Dashiell Hammett,American,1930.0,maltese falcon
913,Father Goriot,Honoré de Balzac,French,1835.0,father goriot
3340,Americanah,Chimamanda Ngozi Adichie,Nigerian,2013.0,americanah
1452,Cloud Atlas,David Mitchell,British,2004.0,cloud atlas
44,A House for Mr. Biswas,V. S. Naipaul,Trinidadian,1961.0,house for mr. biswas
143,The World According to Garp,John Irving,American,1978.0,world according to garp
428,Twenty Thousand Leagues Under the Sea,Jules Verne,French,1870.0,twenty thousand leagues under sea
1598,Macbeth,William Shakespeare,British,1587.0,macbeth
230,U.S.A. Trilogy,John Dos Passos,American,1930.0,u.s.. trilogy
2028,The Long Goodbye: A Novel,Raymond Chandler,American,1953.0,long goodbye
1145,The Things They Carried,Tim O'Brien,American,1990.0,things they carried
952,The Good Soldier Svejk,Jaroslav Hašek,Czech,1923.0,good soldier svejk
166,Tender Is the Night,F. Scott Fitzgerald,American,1934.0,tender is night
46,Infinite Jest,David Foster Wallace,American,1996.0,infinite jest
1375,Where the Wild Things Are,Maurice Sendak,American,1963.0,where wild things are
687,The Education of Henry Adams,Henry Adams,American,1918.0,education of henry adams
57,Money,Martin Amis,British,1984.0,money
1679,Pensées,Blaise Pascal,French,1670.0,pensées
1688,The Confessions of Jean-Jacques Rousseau,Jean-Jacques Rousseau,French,1782.0,confessions of jean-jacques rousseau
186,Kim,Rudyard Kipling,British,1901.0,kim
63,Never Let Me Go,Kazuo Ishiguro,British,2005.0,never let me go
550,A Tale of Two Cities,Charles Dickens,British,1859.0,tale of two cities
941,The Pickwick Papers,Charles Dickens,British,1837.0,pickwick papers
2653,The Chronicles of Narnia,C. S. Lewis,British,1950.0,chronicles of narnia
40,The Heart Is A Lonely Hunter,Carson McCullers,American,1940.0,heart is lonely hunter
1402,A Wrinkle In Time,Madeleine L'Engle,American,1962.0,wrinkle in time
72,Portnoy's Complaint,Philip Roth,American,1969.0,portnoy's complaint
561,The Secret History,Donna Tartt,American,1992.0,secret history
1043,The Year of Magical Thinking,Joan Didion,American,2005.0,year of magical thinking
42,Herzog,Saul Bellow,American,1964.0,herzog
244,The House of Mirth,Edith Wharton,American,1905.0,house of mirth
705,The Elements of Style,"William Strunk, Jr, E. B. White",American,1918.0,elements of style
184,Atlas Shrugged,Ayn Rand,American,1957.0,atlas shrugged
169,Bonfire of the Vanities,Tom Wolfe,American,1987.0,bonfire of vanities
1701,The Complete Works of Plato,Plato,Greek,-347.0,complete works of plato
120,The Hobbit,J. R. R. Tolkien,British,1937.0,hobbit
98,White Noise,Don DeLillo,American,1985.0,white noise
879,Das Kapital,Karl Marx,German,1867.0,das kapital
619,"The Sea, The Sea",Iris Murdoch,British,1978.0,"sea, sea"
607,The Histories of Herodotus,Herodotus,Greek,-420.0,histories of herodotus
249,A Bend in the River,V. S. Naipaul,British,1979.0,bend in river
749,The Structure of Scientific Revolutions,Thomas Kuhn,American,1962.0,structure of scientific revolutions
497,The House of the Spirits,Isabel Allende,Chilean,1982.0,house of spirits
538,Watership Down,Richard Adams,British,1972.0,watership down
663,"So Long, See You Tomorrow",William Maxwell,American,1981.0,"so long, see you tomorrow"
451,Hunger,Knut Hamsun,Norwegian,1890.0,hunger
2448,The Savage Detectives,Roberto Bolaño,Chilean,1998.0,savage detectives
103,His Dark Materials,Philip Pullman,British,1995.0,his dark materials
429,The Time Machine,H. G. Wells,British,1895.0,time machine
93,Tropic of Cancer,Henry Miller,American,1934.0,tropic of cancer
149,The Jungle,Upton Sinclair,American,1906.0,jungle
2251,The Name of the Rose,Umberto Eco,Italian,1980.0,name of rose
821,Relativity,Albert Einstein,German,1917.0,relativity
2011,Gone Girl,Gillian Flynn,American,2012.0,gone girl
2062,I Know Why the Caged Bird Sings,Maya Angelou,American,1969.0,i know why caged bird sings
2651,The End of the Affair,Graham Greene,British,1951.0,end of affair
933,The Red Badge of Courage,Stephen Crane,American,1895.0,red badge of courage
2607,The Waves,Virginia Woolf,British,1931.0,waves
693,"Speak, Memory",Vladimir Nabokov,American,1940.0,"speak, memory"
174,"Look Homeward, Angel",Thomas Wolfe,American,1929.0,"look homeward, angel"
1491,Thus Spake Zarathustra,Friedrich Nietzsche,German,1883.0,thus spake zarathustra
695,"The General Theory of Employment, Interest and Money",John Maynard Keynes,British,1936.0,"general theory of employment, interest and money"
2572,The Poems of Robert Frost,Robert Frost,American,1969.0,poems of robert frost
487,Confessions of Zeno,Italo Svevo,Italian,1923.0,confessions of zeno
