Title,Author,Rank,Genre,Year,Approx. sales (in millions),Bestseller
last days of pompeii,Edward Bulwer Lytton,326,history,,<10,No
reader,Bernhard Schlink,327,Fiction,1995.0,<10,No
caddie woodlawn,Carol Ryrie Brink,328,Fiction,,<10,No
tale of despereaux,Kate DiCamillo,329,Fiction,,<10,No
girl who kicked the hornet's nest,Stieg Larsson,330,thrillers,,<10,No
dear mr. henshaw,Beverly Cleary,331,Fiction,,<10,No
killer angels,Michael Shaara,332,history,1974.0,<10,No
chronicle of a death foretold,Gabriel García Márquez,333,Fiction,1981.0,<10,No
five people you meet in heaven,Mitch Albom,334,Fiction,,<10,No
master and margarita,Mikhail Bulgakov,335,political,1966.0,<10,No
"winesburg, ohio",Sherwood Anderson,336,Fiction,1919.0,<10,No
"""p"" is for peril",Sue Grafton,337,mystery,,<10,No
my sister's keeper,Jodi Picoult,338,Fiction,,<10,No
barnaby rudge,Charles Dickens,339,political,,<10,No
howards end,E.M. Forster,340,Fiction,1910.0,<10,No
broker,John Grisham,341,thrillers,,<10,No
camel club,David Baldacci,342,political,,<10,No
rainbow,D.H. Lawrence,343,Fiction,1915.0,<10,No
man in the iron mask,Alexandre Dumas,344,history,,<10,No
mary poppins,P.L. Travers,345,fantasy,,<10,No
artemis fowl,Eoin Colfer,346,fantasy,2001.0,<10,No
dear john,Nicholas Sparks,347,romance,,<10,No
cold mountain,Charles Frazier,348,romance,1997.0,<10,No
flowers for algernon,Daniel Keyes,349,Fiction,,<10,No
dark is rising,Susan Cooper,350,fantasy,,<10,No
resurrection,Leo Tolstoy,351,Fiction,1899.0,<10,No
fearless fourteen,Janet Evanovich,352,mystery,,<10,No
a sentimental journey through france and italy,Laurence Sterne,353,Fiction,1768.0,<10,No
king of torts,John Grisham,354,thrillers,,<10,No
graveyard book,Neil Gaiman,355,Fiction,,<10,No
quiet american,Graham Greene,356,political,1955.0,<10,No
chamber,John Grisham,357,Fiction,,<10,No
english patient,Michael Ondaatje,358,history,1992.0,<10,No
snow falling on cedars,David Guterson,359,Fiction,1994.0,<10,No
long winter,Laura Ingalls Wilder,360,autobio,,<10,No
"sarah, plain and tall",Patricia MacLachlan,361,Fiction,1985.0,<10,No
cross country,James Patterson,362,thrillers,,<10,No
spy who came in from the cold,John Le Carré,363,Fiction,1963.0,<10,No
a game of thrones,George R.R. Martin,364,fantasy,1996.0,<10,No
