Title,Year
suite française,2004.0
barchester towers,1857.0
waiting for the barbarians,1980.0
quiet american,1955.0
cider with rosie,1959.0
collected stories of eudora welty,1982.0
london fields,1989.0
white tiger,2008.0
rime of the ancient mariner,1798.0
awakening,1899.0
shining,1977.0
dom casmurro,1899.0
some prefer nettles,1929.0
human stain,2000.0
nights at circus,1984.0
death of the heart,1938.0
songs of innocence and experience,1789.0
underworld,1997.0
hour of the star,1977.0
american psycho,1991.0
stone diaries,1993.0
giver,1993.0
magus,1966.0
i'm not stiller,1957.0
jazz,1992.0
arrowsmith,1925.0
breakfast of champions,1973.0
othello,1603.0
americanah,2013.0
riddle of the sands,1903.0
birdsong,1993.0
babbitt,1922.0
a midsummer night's dream,1596.0
blind assassin,2000.0
hopscotch,1963.0
gone girl,2012.0
wasp factory,1984.0
bonjour tristesse,1954.0
perfume,1985.0
notebooks of malte laurids brigge,1910.0
casino royale,1953.0
namesake,2003.0
crying of lot 49,1966.0
day of the triffids,1951.0
franny and zooey,1961.0
adventures of tom sawyer,1876.0
sometimes a great notion,1964.0
heart of the matter,1948.0
home,2008.0
cyrano de bergerac,1897.0
kite runner,2003.0
jesus' son,1999.0
trojan women,-415.0
postman always rings twice,1934.0
hunger games,2008.0
sonnets,1609.0
a game of thrones,1996.0
a thousand acres,1992.0
oscar and lucinda,1988.0
makioka sisters,1948.0
prelude,1850.0
sleepwalkers,1931.0
memoirs of a geisha,1997.0
hours,1998.0
pygmalion,1912.0
inheritance of loss,2006.0
blindness,1998.0
moonstone,1868.0
billy lynn's long halftime walk,2012.0
collected stories of william faulkner,1950.0
code of the woosters,1938.0
death comes for the archbishop,1927.0
odes,-23.0
small island,2004.0
hippolytus,-428.0
oranges are not the only fruit,1985.0
wise blood,1952.0
life and times of michael k,1983.0
don juan,1819.0
voss,1957.0
world's end,1987.0
turn of the screw,1898.0
story of the eye,1928.0
diary of a nobody,1892.0
thirty-nine steps,1915.0
power and the glory,1940.0
a separate peace,1959.0
poems by machado,1917.0
andersonville,1955.0
miss lonelyhearts,1933.0
a death in the family,1957.0
house of the seven gables,1851.0
celestina,1499.0
eugene onegin,1825.0
hedda gabler,1891.0
poet in new york,1929.0
sot-weed factor,1960.0
revolutionary road,1961.0
amongst women,1990.0
bridget jones's diary,1996.0
v,1963.0
siege of krishnapur,1973.0
new york trilogy,1987.0
goodbye to berlin,1939.0
optimist's daughter,1972.0
man with the golden arm,1949.0
them,1969.0
murphy,1938.0
"tinker, tailor, soldier, spy",1974.0
blood and guts in high school,1984.0
los siete locos,1929.0
poetry of luis cernuda,1963.0
correction,1979.0
feast of the goat,2000.0
lonesome dove,1985.0
cathedral,1984.0
froth on the daydream,1947.0
glass bead game,1943.0
death of artemio cruz,1962.0
birds of america,1998.0
an artist of the floating world,1986.0
spy who came in from the cold,1963.0
murder of roger ackroyd,1926.0
"if i forget thee, jerusalem",1939.0
recognitions,1955.0
pricksongs and descants,1969.0
book of laughter and forgetting,1979.0
play it as it lays,1970.0
poems of federico garcía lorca,1941.0
noughts and crosses,2001.0
aesop's fables,-560.0
outline,2014.0
little disturbances,1959.0
howl and other poems,1956.0
daniel deronda,1876.0
tartuffe,1664.0
fortunata and jacinta,1887.0
sanctuary,1931.0
"charlie and chocolate factory,",1964.0
jakob von gunten,1909.0
long day's journey into night,1956.0
ada or ardor,1969.0
golden bowl,1904.0
lyrical ballads,1798.0
everything is illuminated,2002.0
year of the death of ricardo reis,1984.0
burning plain and other stories,1953.0
shipyard,1961.0
three trapped tigers,1967.0
freedom,2010.0
garden of the finzi-continis,1962.0
time of the hero,1963.0
hawaii,1959.0
sellout,2015.0
snow,2002.0
blue flower,1997.0
how to be both,2014.0
a wizard of earthsea,1968.0
paddy clarke ha ha ha,1993.0
tales of the south pacific,1947.0
snow crash,1992.0
adolphe,1816.0
bridge of san luis rey,1927.0
utopia,1516.0
history,1974.0
tristan,1210.0
flamethrowers,2013.0
housekeeping,1980.0
decline and fall,1928.0
mother's milk,2005.0
bel canto,2001.0
life is a dream,1635.0
anne of green gables,1908.0
poems of francois villon,1463.0
interpreter of maladies,2000.0
collected poems,1898.0
tales of the city,1978.0
twilight,2005.0
waiting,1999.0
complete poetry and selected prose of john donne,1631.0
master and commander,1969.0
murder on the orient express,1934.0
swimming-pool library,1988.0
interview with the vampire,1976.0
peter pan,1902.0
beowulf,900.0
dinner at the homesick restaurant,1982.0
appointment in samarra,1934.0
kokoro,1914.0
cancer ward,1967.0
first circle,1968.0
go-between,1953.0
platero,1914.0
rashomon and seventeen other stories,1915.0
romance of the three kingdoms,1301.0
salvage the bones,2011.0
ironweed,1983.0
prophet,1923.0
lazarillo de tormes,1554.0
shell seekers,1987.0
sense and sensibility,1811.0
sheltering sky,1949.0
like water for chocolate,1989.0
east of eden,1952.0
alcools,1913.0
excellent women,1952.0
at swim two-birds,1939.0
prince of tides,1986.0
cold sassy tree,1984.0
a christmas carol,1843.0
private memoirs and confessions of a justified sinner,1824.0
buddha of suburbia,1990.0
jr,1975.0
there but for the,2011.0
house with the blind glass windows,
red room,1879.0
hemsöborna,1887.0
unknown soldier,1954.0
christmas oratorio,
barabbas,1950.0
lost steps,
simon and the oaks,1985.0
alberta trilogy,1926.0
zuleika dobson,1911.0
country of the pointed firs,1896.0
romeo and juliet,1597.0
gimpel the fool,1957.0
accidental tourist,1985.0
monkey wrench gang,1975.0
uncle vanya,1899.0
little dorrit,1857.0
manon lescaut,1731.0
ben-hur,1880.0
high fidelity,1995.0
deliverance,1970.0
true history of the kelly gang,2000.0
annie john,1985.0
thousand cranes,1952.0
smilla's sense of snow,1992.0
hyperion,1797.0
"if not now, when?",1982.0
embers,1942.0
simplicius simplicissimus,1668.0
life and opinions of the tomcat murr,1819.0
reader,1995.0
elective affinities,1809.0
green henry,1855.0
country girls,1960.0
fugitive pieces,1996.0
fateless,1975.0
les enfants terribles,1929.0
jealousy,1957.0
saturday night and sunday morning,1958.0
tenant of wildfell hall,1848.0
growth of the soil,1920.0
stechlin,1899.0
aus dem leben eines taugenichts,1826.0
earthly powers,1980.0
platform,2002.0
varieties of disturbance,2007.0
wapshot chronicle,1967.0
fault in our stars,2012.0
another country,1962.0
sirens of titan,1959.0
1q84,2009.0
goldfinch,2013.0
time and again,1970.0
"i, robot",1950.0
diary of a madman and other stories,1918.0
robert browning's poetry,1889.0
african child,1953.0
passion,1987.0
what is the what,2006.0
plot against america,2004.0
sula,1973.0
angle of repose,1971.0
left hand of darkness,1969.0
sympathizer,2015.0
my name is red,2001.0
god's bits of wood,1960.0
my name is aram,1940.0
of love and shadows,1984.0
woman at point zero,1973.0
fragments,-475.0
life after life,2013.0
"are you there god? it's me, margaret",1970.0
thinking reed,1936.0
a brief history of seven killings,2014.0
man in the high castle,1962.0
magnificent ambersons,1918.0
famished road,1991.0
harry potter and the goblet of fire,2000.0
dog soldiers,1974.0
goodnight moon,
selected stories of lu hsun,1936.0
maias,1888.0
krapp's last tape,1958.0
transit of venus,1980.0
golden ass,180.0
written on the body,1993.0
studs lonigan,1935.0
july's people,1981.0
bérénice,1670.0
flaubert's parrot,1984.0
my brilliant friend,2011.0
radiant way,1987.0
amber spyglass,2000.0
lost horizon,1933.0
short stories of f. scott fitzgerald,1940.0
oryx and crake,2003.0
collected stories of isaac babel,1955.0
fingersmith,2002.0
sophie's world,1991.0
marriage of cadmus and harmony,1988.0
billy budd,1924.0
omeros,1990.0
a lost lady,1923.0
nectar in a sieve,1954.0
citizen,2014.0
harry potter and the deathly hallows,2007.0
cranford,1851.0
curious incident of the dog in the night-time,2003.0
lady with the dog,1899.0
vernon god little,2003.0
gathering,2006.0
g.,1972.0
"how late it was, how late",1994.0
old devils,1986.0
mao ii,1991.0
in a free state,1971.0
sea,2005.0
fortress of solitude,2003.0
a thousand splendid suns,2007.0
balzac and the little chinese seamstress,2000.0
clan of the cave bear,1980.0
wittgenstein's mistress,1988.0
fixer,1966.0
harry potter and the half-blood prince,2005.0
pillars of earth,1989.0
red harvest,1929.0
pastoralia,2000.0
amerika,1927.0
harry potter and prisoner of azkaban,1999.0
harry potter and chamber of secrets,1998.0
harry potter and the order of the phoenix,2003.0
richard iii,1592.0
lanark,1981.0
kreutzer sonata,1889.0
elementary particles,1998.0
a violent life,1959.0
home and the world,1916.0
castle of otranto,1764.0
love in a cold climate,1949.0
blindness,1926.0
junky,1953.0
living,1929.0
against nature,1884.0
a severed head,1961.0
"bless me, ultima",1972.0
importance of being earnest,1895.0
moor's last sigh,1995.0
endgame,1957.0
ender's game,1980.0
neapolitan novels,2012.0
how should a person be?,2010.0
unconsoled,1995.0
tell me a riddle,1961.0
three lives,1909.0
poems of rumi,1273.0
fall,1956.0
bartleby and co,2004.0
professor unrat,1905.0
german lesson,1968.0
discovery of heaven,1992.0
recognition of sakuntala,-200.0
a tale of love and darkness,2002.0
a fable,1954.0
wilhelm meister's apprenticeship,1796.0
norwegian wood,1987.0
colour of magic,1983.0
secret diary of adrian mole aged 13 3/4,1982.0
royal game,1942.0
auto da fé,1935.0
michael kohlhaas,1810.0
effi briest,1896.0
i capture the castle,1934.0
underground railroad,2016.0
"roll of thunder, hear my cry",1976.0
fifth business,1970.0
making of americans,1925.0
belle du seigneur,1968.0
labrava,1983.0
under satan's sun,1926.0
a ghost at noon,1954.0
nightwood,1936.0
ragged trousered philanthropists,1914.0
lost honour of katharina blum,1974.0
opposing shore,1951.0
ravishing of lol stein,1964.0
water margin,1127.0
third policeman,1967.0
bluest eye,1970.0
oroonoko,1689.0
in watermelon sugar,1968.0
hadrian the seventh,1904.0
heat of the day,1948.0
gentlemen prefer blondes,1925.0
dispossessed,1974.0
foucault's pendulum,1988.0
art of fielding,2011.0
watt,1953.0
yearling,1938.0
narrow road to the deep north,1689.0
warden,1855.0
selected works of cesare pavese,
crucible,1953.0
giants in the earth,1927.0
riders of the purple sage,1912.0
collected poems,1954.0
mating,1990.0
complete poetry and essential prose of john milton,1674.0
misanthrope,1673.0
