Title,Author,Rank,Genre
The Old Curiosity Shop,Charles Dickens,168,gen_fiction
Little Dorrit,Charles Dickens,169,gen_fiction
Prince Caspian: The Return to Narnia,C.S. Lewis,170,fantasy
Sister Carrie,Theodore Dreiser,171,gen_fiction
The Silver Chair,C.S. Lewis,172,fantasy
The Hunger Games,Suzanne Collins,173,scifi
This Side of Paradise,F. Scott Fitzgerald,174,bildung
Eugénie Grandet,Honoré de Balzac,175,allegories
Of Human Bondage,W. Somerset Maugham,176,bildung
Dream of the Red Chamber,Cao Xueqin,177,gen_fiction
Life of Pi,Yann Martel,178,gen_fiction
Harry Potter and the Deathly Hallows,J.K. Rowling,179,fantasy
Invisible Man,Ralph Ellison,180,gen_fiction
Steppenwolf,Hermann Hesse,181,gen_fiction
The Sorrows of Young Werther,Johann Wolfgang von Goethe,182,autobio
Bridge to Terabithia,Katherine Paterson,183,fantasy
The Invisible Man,H.G. Wells,184,gen_fiction
Holes,Louis Sachar,185,gen_fiction
Siddhartha,Hermann Hesse,186,gen_fiction
A Tree Grows in Brooklyn,Betty Smith,187,gen_fiction
"Through the Looking-Glass, and What Alice Found There",Lewis Carroll,188,fantasy
In Cold Blood,Truman Capote,189,gen_fiction
The House of the Spirits,Isabel Allende,190,gen_fiction
Adam Bede,George Eliot,191,romance
The Betrothed,Alessandro Manzoni,192,history
The Book Thief,Markus Zusak,193,history
Their Eyes Were Watching God,Zora Neale Hurston,194,gen_fiction
One Day in the Life of Ivan Denisovich,Aleksandr Isaevich Solzhenitsyn,195,gen_fiction
The Sea Wolf,Jack London,196,gen_fiction
Catching Fire,Suzanne Collins,197,scifi
"Roll of Thunder, Hear My Cry",Mildred D. Taylor,198,history
Death Comes for the Archbishop,Willa Cather,199,history
The House of Mirth,Edith Wharton,200,gen_fiction
Light in August,William Faulkner,201,gen_fiction
The Pickwick Papers,Charles Dickens,202,gen_fiction
Remembrance of Things Past,Marcel Proust,203,autobio
Barchester Towers and the Warden,Anthony Trollope,204,gen_fiction
The Bridge of San Luis Rey,Thornton Wilder,205,history
The Help,Kathryn Stockett,206,history
Murder on the Orient Express,Agatha Christie,207,mystery
The Lovely Bones,Alice Sebold,208,gen_fiction
The Appeal,John Grisham,209,gen_fiction
Dombey And Son,Charles Dickens,210,gen_fiction
Slaughterhouse-Five,Kurt Vonnegut,211,scifi
An American Tragedy,Theodore Dreiser,212,romance
The Bluest Eye,Toni Morrison,213,bildung
Little House In the Big Woods,Laura Ingalls Wilder,214,history
Pippi Longstocking,Astrid Lindgren,215,gen_fiction
Germinal,Émile Zola,216,political
The Heart Is a Lonely Hunter,Carson McCullers,217,gen_fiction
The Woman In White,Wilkie Collins,218,gen_fiction
"Absalom, Absalom!",William Faulkner,219,gen_fiction
A Painted House,John Grisham,220,gen_fiction
The Girl With the Dragon Tattoo,Stieg Larsson,221,thrillers
A Room With a View,E.M. Forster,222,gen_fiction
Watership Down,Richard Adams,223,allegories
Memoirs of a Geisha,Arthur Golden,224,history
Our Mutual Friend,Charles Dickens,225,romance
Babbitt,Sinclair Lewis,226,gen_fiction
The Red Pony,John Steinbeck,227,bildung
All the King's Men,Robert Penn Warren,228,political
Things Fall Apart,Chinua Achebe,229,history
Lorna Doone,R.D. Blackmore,230,history
Johnny Tremain,Esther Forbes,231,history
Anne of Avonlea,L.M. Montgomery,232,gen_fiction
Tuck Everlasting,Natalie Babbitt,233,fantasy
The BFG,Roald Dahl,234,gen_fiction
Cannery Row,John Steinbeck,235,romance
